Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 17, 2020",302.69,307.50,298.00,300.17,300.17,46650000
"Jul 16, 2020",295.43,306.34,293.20,300.13,300.13,71504000
"Jul 15, 2020",308.60,310.00,291.40,309.20,309.20,81839000
"Jul 14, 2020",311.20,318.00,286.20,303.36,303.36,117090500
"Jul 13, 2020",331.80,359.00,294.22,299.41,299.41,194927000
"Jul 10, 2020",279.20,309.78,275.20,308.93,308.93,116688000
"Jul 09, 2020",279.40,281.71,270.26,278.86,278.86,58588000
"Jul 08, 2020",281.00,283.45,262.27,273.18,273.18,81556500
"Jul 07, 2020",281.00,285.90,267.34,277.97,277.97,107448500
"Jul 06, 2020",255.34,275.56,253.21,274.32,274.32,102849500
"Jul 02, 2020",244.30,245.60,237.12,241.73,241.73,86250500
"Jul 01, 2020",216.60,227.07,216.10,223.93,223.93,66634500
"Jun 30, 2020",201.30,217.54,200.75,215.96,215.96,84592500
"Jun 29, 2020",193.80,202.00,189.70,201.87,201.87,45132000
"Jun 26, 2020",198.96,199.00,190.97,191.95,191.95,44274500
"Jun 25, 2020",190.85,197.20,187.43,197.20,197.20,46272500
"Jun 24, 2020",198.82,200.18,190.63,192.17,192.17,54798000
"Jun 23, 2020",199.78,202.40,198.80,200.36,200.36,31826500
"Jun 22, 2020",199.99,201.78,198.00,198.86,198.86,31812000
"Jun 19, 2020",202.56,203.19,198.27,200.18,200.18,43398500
"Jun 18, 2020",200.60,203.84,198.89,200.79,200.79,48759500
"Jun 17, 2020",197.54,201.00,196.51,198.36,198.36,49454000
"Jun 16, 2020",202.37,202.58,192.48,196.43,196.43,70255500
"Jun 15, 2020",183.56,199.77,181.70,198.18,198.18,78486000
"Jun 12, 2020",196.00,197.60,182.52,187.06,187.06,83817000
"Jun 11, 2020",198.04,203.79,194.40,194.57,194.57,79582500
"Jun 10, 2020",198.38,205.50,196.50,205.01,205.01,92817000
"Jun 09, 2020",188.00,190.89,184.79,188.13,188.13,56941000
"Jun 08, 2020",183.80,190.00,181.83,189.98,189.98,70873500
"Jun 05, 2020",175.57,177.30,173.24,177.13,177.13,39059500
"Jun 04, 2020",177.98,179.15,171.69,172.88,172.88,44438500
"Jun 03, 2020",177.62,179.59,176.02,176.59,176.59,39747500
"Jun 02, 2020",178.94,181.73,174.20,176.31,176.31,67828000
"Jun 01, 2020",171.60,179.80,170.82,179.62,179.62,74697500
"May 29, 2020",161.75,167.00,160.84,167.00,167.00,59062500
"May 28, 2020",162.70,164.95,160.34,161.16,161.16,36278000
"May 27, 2020",164.17,165.54,157.00,164.05,164.05,57747500
"May 26, 2020",166.90,166.92,163.14,163.77,163.77,40448500
"May 22, 2020",164.43,166.36,162.40,163.38,163.38,49937500
"May 21, 2020",163.20,166.50,159.20,165.52,165.52,61273000
"May 20, 2020",164.10,165.20,162.36,163.11,163.11,36546500
"May 19, 2020",163.03,164.41,161.22,161.60,161.60,48182500
"May 18, 2020",165.56,166.94,160.78,162.73,162.73,58490500
"May 15, 2020",158.07,161.01,157.31,159.83,159.83,52592000
"May 14, 2020",156.00,160.67,152.80,160.67,160.67,68411000
"May 13, 2020",164.17,165.20,152.66,158.19,158.19,95327500
"May 12, 2020",165.40,168.66,161.60,161.88,161.88,79534500
"May 11, 2020",158.10,164.80,157.00,162.26,162.26,82598000
"May 08, 2020",158.75,164.80,157.40,163.88,163.88,80650500
"May 07, 2020",155.44,159.28,154.47,156.01,156.01,57638500
"May 06, 2020",155.30,157.96,152.22,156.52,156.52,55616000
"May 05, 2020",157.96,159.78,152.44,153.64,153.64,84958500
"May 04, 2020",140.20,152.40,139.60,152.24,152.24,96185500
"May 01, 2020",151.00,154.55,136.61,140.26,140.26,162659000
"Apr 30, 2020",171.04,173.96,152.70,156.38,156.38,142359500
"Apr 29, 2020",158.03,160.64,156.63,160.10,160.10,81080000
"Apr 28, 2020",159.13,161.00,151.34,153.82,153.82,76110000
"Apr 27, 2020",147.52,159.90,147.00,159.75,159.75,103407000
"Apr 24, 2020",142.16,146.15,139.64,145.03,145.03,66188000
"Apr 23, 2020",145.52,146.80,140.63,141.13,141.13,66183500
"Apr 22, 2020",140.80,146.80,137.74,146.42,146.42,71124000
"Apr 21, 2020",146.02,150.67,134.76,137.34,137.34,101045500
"Apr 20, 2020",146.54,153.11,142.44,149.27,149.27,73733000
"Apr 17, 2020",154.46,154.99,149.53,150.78,150.78,65641000
"Apr 16, 2020",143.39,151.89,141.34,149.04,149.04,103289500
"Apr 15, 2020",148.40,150.63,142.00,145.97,145.97,117885000
"Apr 14, 2020",139.79,148.38,138.49,141.98,141.98,152882500
"Apr 13, 2020",118.03,130.40,116.11,130.19,130.19,112377000
"Apr 09, 2020",112.42,115.04,111.42,114.60,114.60,68250000
"Apr 08, 2020",110.84,111.44,106.67,109.77,109.77,63280000
"Apr 07, 2020",109.00,113.00,106.47,109.09,109.09,89599000
"Apr 06, 2020",102.24,104.20,99.59,103.25,103.25,74509000
"Apr 03, 2020",101.90,103.10,93.68,96.00,96.00,112810500
"Apr 02, 2020",96.21,98.85,89.28,90.89,90.89,99292000
"Apr 01, 2020",100.80,102.79,95.02,96.31,96.31,66766000
"Mar 31, 2020",100.25,108.59,99.40,104.80,104.80,88857500
"Mar 30, 2020",102.05,103.33,98.25,100.43,100.43,59990500
"Mar 27, 2020",101.00,105.16,98.81,102.87,102.87,71887000
"Mar 26, 2020",109.48,112.00,102.45,105.63,105.63,86903500
"Mar 25, 2020",109.05,111.40,102.22,107.85,107.85,106113500
"Mar 24, 2020",95.46,102.74,94.80,101.00,101.00,114476000
"Mar 23, 2020",86.72,88.40,82.10,86.86,86.86,82272500
"Mar 20, 2020",87.64,95.40,85.16,85.51,85.51,141427500
"Mar 19, 2020",74.94,90.40,71.69,85.53,85.53,150977500
"Mar 18, 2020",77.80,80.97,70.10,72.24,72.24,118931000
"Mar 17, 2020",88.00,94.37,79.20,86.04,86.04,119973000
"Mar 16, 2020",93.90,98.97,88.43,89.01,89.01,102447500
"Mar 13, 2020",119.00,121.51,100.40,109.32,109.32,113201500
"Mar 12, 2020",116.18,118.90,109.25,112.11,112.11,94545500
"Mar 11, 2020",128.04,130.72,122.60,126.85,126.85,66612500
"Mar 10, 2020",131.89,133.60,121.60,129.07,129.07,15523700
"Mar 09, 2020",121.08,132.60,121.00,121.60,121.60,17073700
"Mar 06, 2020",138.00,141.40,136.85,140.70,140.70,12662900
"Mar 05, 2020",144.75,149.15,143.61,144.91,144.91,10852700
"Mar 04, 2020",152.79,153.30,144.95,149.90,149.90,15049000
"Mar 03, 2020",161.00,161.40,143.22,149.10,149.10,25784000
"Mar 02, 2020",142.25,148.74,137.33,148.72,148.72,20195000
"Feb 28, 2020",125.94,138.10,122.30,133.60,133.60,24564200
"Feb 27, 2020",146.00,147.95,133.80,135.80,135.80,121386000
"Feb 26, 2020",156.50,162.66,155.22,155.76,155.76,70427500
"Feb 25, 2020",169.80,171.32,157.40,159.98,159.98,86452500
"Feb 24, 2020",167.80,172.70,164.44,166.76,166.76,75961000
"Feb 21, 2020",181.40,182.61,176.09,180.20,180.20,71574000
"Feb 20, 2020",182.39,182.40,171.99,179.88,179.88,88174500
"Feb 19, 2020",184.70,188.96,180.20,183.48,183.48,127115000
"Feb 18, 2020",168.32,172.00,166.47,171.68,171.68,81908500
"Feb 14, 2020",157.44,162.59,157.10,160.01,160.01,78468500
"Feb 13, 2020",148.37,163.60,147.00,160.80,160.80,131446500
"Feb 12, 2020",155.57,157.95,152.67,153.46,153.46,60112500
"Feb 11, 2020",153.76,156.70,151.60,154.88,154.88,58487500
"Feb 10, 2020",160.00,164.00,150.48,154.26,154.26,123446000
"Feb 07, 2020",146.11,153.95,146.00,149.61,149.61,85317500
"Feb 06, 2020",139.98,159.17,137.40,149.79,149.79,199404000
"Feb 05, 2020",164.65,169.20,140.82,146.94,146.94,242119000
"Feb 04, 2020",176.59,193.80,166.78,177.41,177.41,304694000
"Feb 03, 2020",134.74,157.23,134.70,156.00,156.00,236167500
"Jan 31, 2020",128.00,130.60,126.50,130.11,130.11,78596500
"Jan 30, 2020",126.48,130.18,123.60,128.16,128.16,145028500
"Jan 29, 2020",115.14,117.96,113.49,116.20,116.20,89007500
"Jan 28, 2020",113.70,115.36,111.62,113.38,113.38,58942500
"Jan 27, 2020",108.40,112.89,107.86,111.60,111.60,68040500
"Jan 24, 2020",114.13,114.77,110.85,112.96,112.96,71768000
"Jan 23, 2020",112.85,116.40,111.12,114.44,114.44,98255000
"Jan 22, 2020",114.38,118.90,111.82,113.91,113.91,156845000
"Jan 21, 2020",106.05,109.72,105.68,109.44,109.44,89017500
"Jan 17, 2020",101.52,103.13,100.63,102.10,102.10,68145500
"Jan 16, 2020",98.75,102.89,98.43,102.70,102.70,108683500
"Jan 15, 2020",105.95,107.57,103.36,103.70,103.70,86844000
"Jan 14, 2020",108.85,109.48,104.98,107.58,107.58,144981000
"Jan 13, 2020",98.70,105.13,98.40,104.97,104.97,132588000
"Jan 10, 2020",96.36,96.99,94.74,95.63,95.63,64797500
"Jan 09, 2020",99.42,99.76,94.57,96.27,96.27,142202000
"Jan 08, 2020",94.74,99.70,93.65,98.43,98.43,155721500
"Jan 07, 2020",92.28,94.33,90.67,93.81,93.81,89410500
"Jan 06, 2020",88.09,90.31,88.00,90.31,90.31,50665000
"Jan 03, 2020",88.10,90.80,87.38,88.60,88.60,88892500
"Jan 02, 2020",84.90,86.14,84.34,86.05,86.05,47660500
"Dec 31, 2019",81.00,84.26,80.42,83.67,83.67,51428500
"Dec 30, 2019",85.76,85.80,81.85,82.94,82.94,62932000
"Dec 27, 2019",87.00,87.06,85.22,86.08,86.08,49728500
"Dec 26, 2019",85.58,86.70,85.27,86.19,86.19,53169500
"Dec 24, 2019",83.67,85.09,82.54,85.05,85.05,40273500
"Dec 23, 2019",82.36,84.40,82.00,83.84,83.84,66598000
"Dec 20, 2019",82.06,82.60,80.04,81.12,81.12,73763500
"Dec 19, 2019",79.46,81.37,79.30,80.81,80.81,90535500
"Dec 18, 2019",76.13,79.04,76.12,78.63,78.63,70605000
"Dec 17, 2019",75.80,77.10,75.18,75.80,75.80,42484000
"Dec 16, 2019",72.51,76.72,72.50,76.30,76.30,90871000
"Dec 13, 2019",72.21,73.04,70.93,71.68,71.68,32854500
"Dec 12, 2019",70.98,72.55,70.65,71.94,71.94,38819500
"Dec 11, 2019",70.38,71.44,70.22,70.54,70.54,34489000
"Dec 10, 2019",67.99,70.15,67.86,69.77,69.77,44141500
"Dec 09, 2019",67.32,68.89,67.02,67.91,67.91,45115500
"Dec 06, 2019",67.00,67.77,66.95,67.18,67.18,38062000
"Dec 05, 2019",66.57,66.88,65.45,66.07,66.07,18623000
"Dec 04, 2019",67.55,67.57,66.57,66.61,66.61,27665000
"Dec 03, 2019",66.52,67.58,66.44,67.24,67.24,32868500
"Dec 02, 2019",65.88,67.28,65.74,66.97,66.97,30372500
"Nov 29, 2019",66.22,66.25,65.50,65.99,65.99,12328000
"Nov 27, 2019",66.22,66.79,65.71,66.26,66.26,27778000
"Nov 26, 2019",67.05,67.10,65.42,65.78,65.78,39737000
"Nov 25, 2019",68.86,68.91,66.89,67.27,67.27,61697500
"Nov 22, 2019",68.03,68.20,66.00,66.61,66.61,84353000
"Nov 21, 2019",70.90,72.17,70.80,70.97,70.97,30550000
"Nov 20, 2019",72.00,72.24,69.91,70.44,70.44,33625500
"Nov 19, 2019",70.35,72.00,69.56,71.90,71.90,38624000
"Nov 18, 2019",70.58,70.63,69.22,70.00,70.00,22002000
"Nov 15, 2019",70.13,70.56,69.67,70.43,70.43,24045000
"Nov 14, 2019",69.22,70.77,68.58,69.87,69.87,32324500
"Nov 13, 2019",71.00,71.27,69.04,69.22,69.22,42100500
"Nov 12, 2019",69.38,70.07,68.81,69.99,69.99,36797000
"Nov 11, 2019",68.79,69.84,68.40,69.02,69.02,49933500
"Nov 08, 2019",66.90,67.49,66.50,67.43,67.43,30346000
"Nov 07, 2019",65.83,68.30,65.60,67.11,67.11,72336500
"Nov 06, 2019",63.60,65.34,62.90,65.32,65.32,39704500
"Nov 05, 2019",63.92,64.70,63.22,63.44,63.44,34717000
"Nov 04, 2019",62.96,64.39,61.85,63.49,63.49,43935000
"Nov 01, 2019",63.26,63.30,61.96,62.66,62.66,31919500
"Oct 31, 2019",62.62,63.80,62.60,62.98,62.98,25335000
"Oct 30, 2019",62.60,63.76,61.99,63.00,63.00,48209000
"Oct 29, 2019",64.00,64.86,62.95,63.24,63.24,63421500
"Oct 28, 2019",65.51,68.17,64.52,65.54,65.54,94351500
"Oct 25, 2019",59.54,66.00,59.22,65.63,65.63,150030500
"Oct 24, 2019",59.67,60.99,57.84,59.94,59.94,148604500
"Oct 23, 2019",50.90,51.23,50.27,50.94,50.94,26305500
"Oct 22, 2019",50.86,51.67,50.17,51.12,51.12,23004000
"Oct 21, 2019",51.67,51.90,50.04,50.70,50.70,25101500
"Oct 18, 2019",52.14,52.56,51.02,51.39,51.39,28749000
"Oct 17, 2019",52.50,52.96,52.03,52.39,52.39,23846500
"Oct 16, 2019",51.48,52.42,51.38,51.95,51.95,33420500
"Oct 15, 2019",51.54,52.00,50.82,51.58,51.58,32164000
"Oct 14, 2019",49.58,51.71,49.43,51.39,51.39,51025000
"Oct 11, 2019",49.43,50.22,49.36,49.58,49.58,42377000
"Oct 10, 2019",49.06,49.86,48.32,48.95,48.95,31416500
"Oct 09, 2019",48.26,49.46,48.13,48.91,48.91,34472000
"Oct 08, 2019",47.17,48.79,46.90,48.01,48.01,43391000
"Oct 07, 2019",45.96,47.71,45.71,47.54,47.54,40321000
"Oct 04, 2019",46.32,46.96,45.61,46.29,46.29,39975000
"Oct 03, 2019",46.37,46.90,44.86,46.61,46.61,75422500
"Oct 02, 2019",48.66,48.93,47.89,48.63,48.63,28157000
"Oct 01, 2019",48.30,49.19,47.83,48.94,48.94,30813000
"Sep 30, 2019",48.60,48.80,47.22,48.17,48.17,29399000
"Sep 27, 2019",48.44,49.74,47.75,48.43,48.43,55582000
"Sep 26, 2019",46.13,48.66,45.48,48.51,48.51,59422500
"Sep 25, 2019",44.91,45.80,43.67,45.74,45.74,47135500
"Sep 24, 2019",48.30,48.40,44.52,44.64,44.64,64457500
"Sep 23, 2019",48.00,49.04,47.84,48.25,48.25,21701000
"Sep 20, 2019",49.30,49.39,47.63,48.12,48.12,31765000
"Sep 19, 2019",49.20,49.59,48.97,49.32,49.32,23979000
"Sep 18, 2019",49.00,49.63,48.47,48.70,48.70,20851000
"Sep 17, 2019",48.49,49.12,48.07,48.96,48.96,19327000
"Sep 16, 2019",49.20,49.49,48.23,48.56,48.56,23640500
"Sep 13, 2019",49.39,49.69,48.97,49.04,49.04,26565500
"Sep 12, 2019",49.54,50.70,48.88,49.17,49.17,42906000
"Sep 11, 2019",47.48,49.63,47.20,49.42,49.42,50214000
"Sep 10, 2019",46.16,47.11,45.79,47.11,47.11,24418500
"Sep 09, 2019",46.00,46.75,45.85,46.36,46.36,24013500
"Sep 06, 2019",45.44,45.93,45.03,45.49,45.49,20947000
"Sep 05, 2019",44.50,45.96,44.17,45.92,45.92,36976500
"Sep 04, 2019",45.38,45.69,43.84,44.14,44.14,28805000
"Sep 03, 2019",44.82,45.79,44.63,45.00,45.00,26770500
"Aug 30, 2019",45.83,46.49,44.84,45.12,45.12,46603000
"Aug 29, 2019",43.80,44.68,43.60,44.34,44.34,25897500
"Aug 28, 2019",42.74,43.45,42.46,43.12,43.12,16127500
"Aug 27, 2019",43.15,43.76,42.41,42.82,42.82,27081000
"Aug 26, 2019",42.72,43.00,42.31,43.00,43.00,25259500
"Aug 23, 2019",43.99,44.23,42.20,42.28,42.28,42693000
"Aug 22, 2019",44.56,45.08,43.64,44.43,44.43,32795000
"Aug 21, 2019",44.40,44.64,43.52,44.17,44.17,38971500
"Aug 20, 2019",45.52,45.82,44.91,45.17,45.17,20626000
"Aug 19, 2019",44.84,45.57,44.34,45.37,45.37,26548000
"Aug 16, 2019",43.33,44.45,43.20,43.99,43.99,25492500
"Aug 15, 2019",44.17,44.31,42.31,43.13,43.13,40798000
"Aug 14, 2019",46.24,46.30,43.34,43.92,43.92,47813000
"Aug 13, 2019",45.76,47.20,45.51,47.00,47.00,24240500
"Aug 12, 2019",46.60,47.15,45.75,45.80,45.80,23319500
"Aug 09, 2019",47.21,47.79,46.76,47.00,47.00,19491000
"Aug 08, 2019",46.89,47.96,46.53,47.66,47.66,26371500
"Aug 07, 2019",45.30,46.71,45.16,46.68,46.68,23882500
"Aug 06, 2019",46.38,46.50,45.15,46.15,46.15,27821000
"Aug 05, 2019",45.92,46.27,45.16,45.66,45.66,35141500
"Aug 02, 2019",46.27,47.25,45.85,46.87,46.87,30682500
"Aug 01, 2019",48.53,48.90,46.35,46.77,46.77,41297500
"Jul 31, 2019",48.60,49.34,47.33,48.32,48.32,45891000
"Jul 30, 2019",46.58,48.67,46.44,48.45,48.45,40545000
"Jul 29, 2019",45.42,47.19,45.21,47.15,47.15,46366500
"Jul 26, 2019",45.38,46.05,44.45,45.61,45.61,50138500
"Jul 25, 2019",46.70,46.90,45.11,45.76,45.76,112091500
"Jul 24, 2019",51.83,53.21,51.63,52.98,52.98,55364000
"Jul 23, 2019",51.34,52.10,50.90,52.03,52.03,25115500
"Jul 22, 2019",51.75,52.43,50.84,51.14,51.14,34212000
"Jul 19, 2019",51.14,51.99,50.92,51.64,51.64,35242000
"Jul 18, 2019",51.01,51.15,50.38,50.71,50.71,23793000
"Jul 17, 2019",51.13,51.66,50.67,50.97,50.97,48823500
"Jul 16, 2019",49.86,50.71,49.59,50.48,50.48,40745000
"Jul 15, 2019",49.60,50.88,48.97,50.70,50.70,55000500
"Jul 12, 2019",47.95,49.08,47.94,49.02,49.02,46002500
"Jul 11, 2019",47.63,48.30,47.16,47.72,47.72,37572000
"Jul 10, 2019",46.83,47.79,46.63,47.78,47.78,45728500
"Jul 09, 2019",45.79,46.20,45.46,46.01,46.01,30954000
"Jul 08, 2019",46.25,46.45,45.73,46.07,46.07,29402500
"Jul 05, 2019",46.91,47.09,46.16,46.62,46.62,35328500
"Jul 03, 2019",47.88,48.31,46.90,46.98,46.98,71005500
"Jul 02, 2019",45.78,45.83,44.44,44.91,44.91,46295000
"Jul 01, 2019",46.04,46.62,45.26,45.43,45.43,41067000
"Jun 28, 2019",44.20,45.03,44.16,44.69,44.69,34257000
"Jun 27, 2019",43.89,44.58,43.47,44.57,44.57,31698500
"Jun 26, 2019",44.06,45.45,43.62,43.85,43.85,42536000
"Jun 25, 2019",44.88,45.07,43.90,43.95,43.95,30910500
"Jun 24, 2019",44.65,45.17,44.20,44.73,44.73,28754000
"Jun 21, 2019",43.24,44.44,43.10,44.37,44.37,41010500
"Jun 20, 2019",44.60,45.38,43.27,43.92,43.92,59317500
"Jun 19, 2019",45.02,45.55,44.21,45.29,45.29,32875500
"Jun 18, 2019",45.74,46.95,44.51,44.95,44.95,63579000
"Jun 17, 2019",43.10,45.40,42.85,45.01,45.01,61584000
"Jun 14, 2019",42.25,43.33,42.08,42.98,42.98,37167000
"Jun 13, 2019",42.08,42.98,41.50,42.78,42.78,40841500
"Jun 12, 2019",44.59,44.68,41.80,41.85,41.85,75987500
"Jun 11, 2019",43.83,44.18,42.70,43.42,43.42,58267500
"Jun 10, 2019",42.05,43.39,41.80,42.58,42.58,52925000
"Jun 07, 2019",41.00,42.17,40.70,40.90,40.90,80017500
"Jun 06, 2019",40.89,42.20,40.36,41.19,41.19,101211000
"Jun 05, 2019",39.74,40.26,38.37,39.32,39.32,67554000
"Jun 04, 2019",36.22,38.80,35.92,38.72,38.72,69037500
"Jun 03, 2019",37.10,37.34,35.40,35.79,35.79,65322000
"May 31, 2019",37.02,37.98,36.82,37.03,37.03,52033500
"May 30, 2019",37.75,38.45,37.40,37.64,37.64,39632500
"May 29, 2019",37.42,38.48,37.01,37.97,37.97,59843000
"May 28, 2019",38.24,39.00,37.57,37.74,37.74,51564500
"May 24, 2019",39.97,40.00,37.75,38.13,38.13,70683000
"May 23, 2019",38.87,39.89,37.24,39.10,39.10,132735500
"May 22, 2019",39.82,40.79,38.36,38.55,38.55,93426000
"May 21, 2019",39.55,41.48,39.21,41.02,41.02,90019500
"May 20, 2019",40.56,41.20,39.05,41.07,41.07,102631000
"May 17, 2019",44.39,44.45,41.78,42.21,42.21,88933500
"May 16, 2019",45.90,46.20,45.30,45.67,45.67,37416500
"May 15, 2019",45.86,46.49,45.05,46.39,46.39,36480000
"May 14, 2019",45.86,46.90,45.60,46.46,46.46,36262000
"May 13, 2019",46.40,46.49,44.90,45.40,45.40,54174000
"May 10, 2019",47.95,48.40,47.20,47.90,47.90,35041500
"May 09, 2019",48.40,48.74,47.39,48.40,48.40,33557000
"May 08, 2019",49.39,50.12,48.84,48.97,48.97,30882000
"May 07, 2019",51.36,51.44,49.02,49.41,49.41,50657000
"May 06, 2019",50.00,51.67,49.70,51.07,51.07,54169500
"May 03, 2019",48.77,51.32,48.70,51.01,51.01,118534000
"May 02, 2019",49.10,49.43,47.54,48.82,48.82,90796500
"May 01, 2019",47.77,48.00,46.30,46.80,46.80,53522000
"Apr 30, 2019",48.41,48.84,47.40,47.74,47.74,47323000
"Apr 29, 2019",47.17,48.80,46.43,48.29,48.29,83572500
"Apr 26, 2019",49.30,49.34,46.23,47.03,47.03,111803500
"Apr 25, 2019",51.00,51.80,49.21,49.53,49.53,109247000
"Apr 24, 2019",52.77,53.06,51.60,51.73,51.73,53637500
"Apr 23, 2019",52.03,53.12,51.15,52.78,52.78,54719500
"Apr 22, 2019",53.80,53.94,52.50,52.55,52.55,60735500
"Apr 18, 2019",54.25,54.97,53.95,54.65,54.65,29381500
"Apr 17, 2019",54.95,54.96,53.71,54.25,54.25,25632500
"Apr 16, 2019",53.15,55.00,52.94,54.67,54.67,36364500
"Apr 15, 2019",53.73,53.78,51.73,53.28,53.28,50193000
"Apr 12, 2019",54.04,54.39,53.37,53.54,53.54,33730000
"Apr 11, 2019",53.66,54.10,53.12,53.68,53.68,49179500
"Apr 10, 2019",55.35,55.68,54.58,55.21,55.21,35306500
"Apr 09, 2019",54.33,55.00,53.92,54.46,54.46,29520000
"Apr 08, 2019",55.54,56.23,54.09,54.64,54.64,52052000
"Apr 05, 2019",53.97,55.22,53.22,54.99,54.99,65191500
"Apr 04, 2019",52.38,54.24,52.12,53.56,53.56,118603500
"Apr 03, 2019",57.46,59.23,57.43,58.36,58.36,39597000
"Apr 02, 2019",57.66,57.89,56.78,57.18,57.18,27394500
"Apr 01, 2019",56.52,57.84,56.26,57.84,57.84,40552000
"Mar 29, 2019",55.74,56.03,54.90,55.97,55.97,29956500
"Mar 28, 2019",55.43,56.07,55.02,55.72,55.72,33870500
"Mar 27, 2019",53.75,55.07,53.64,54.97,54.97,43896000
"Mar 26, 2019",52.89,54.05,52.89,53.55,53.55,36754500
"Mar 25, 2019",51.94,52.64,50.89,52.08,52.08,51075000
"Mar 22, 2019",54.52,54.56,52.80,52.91,52.91,43728000
"Mar 21, 2019",54.52,55.29,53.69,54.80,54.80,29735500
"Mar 20, 2019",53.94,54.99,53.26,54.72,54.72,34541000
"Mar 19, 2019",53.50,54.66,52.69,53.49,53.49,59003000
"Mar 18, 2019",55.20,55.61,53.46,53.90,53.90,51405000
"Mar 15, 2019",56.70,56.74,54.88,55.09,55.09,73927500
"Mar 14, 2019",58.49,59.08,57.66,57.99,57.99,35517000
"Mar 13, 2019",56.78,58.40,56.54,57.79,57.79,34223500
"Mar 12, 2019",57.30,57.61,56.21,56.67,56.67,37520500
"Mar 11, 2019",56.70,58.26,56.10,58.18,58.18,36961500
"Mar 08, 2019",55.38,57.12,55.18,56.83,56.83,44098000
"Mar 07, 2019",55.77,56.94,54.85,55.32,55.32,47212500
"Mar 06, 2019",55.30,56.30,54.88,55.25,55.25,51677500
"Mar 05, 2019",56.40,56.80,54.02,55.31,55.31,93823500
"Mar 04, 2019",59.62,59.80,56.56,57.07,57.07,85484000
"Mar 01, 2019",61.39,61.43,58.38,58.96,58.96,114557000
"Feb 28, 2019",63.78,64.00,62.16,63.98,63.98,52603500
"Feb 27, 2019",60.36,63.26,60.11,62.95,62.95,55919500
"Feb 26, 2019",58.44,60.40,57.75,59.57,59.57,42912500
"Feb 25, 2019",59.58,60.58,59.40,59.75,59.75,33132500
"Feb 22, 2019",58.90,59.30,58.42,58.94,58.94,28703000
"Feb 21, 2019",60.36,60.65,58.10,58.25,58.25,44546000
"Feb 20, 2019",60.88,61.26,59.80,60.51,60.51,35710500
"Feb 19, 2019",61.31,62.31,61.09,61.13,61.13,20842000
"Feb 15, 2019",60.90,61.60,60.78,61.58,61.58,19524500
"Feb 14, 2019",60.68,61.35,60.20,60.75,60.75,26004000
"Feb 13, 2019",62.47,62.55,61.11,61.63,61.63,25708000
"Feb 12, 2019",63.24,63.64,61.92,62.36,62.36,27588000
